Site,Core,CorePositionTop,YearADTop,NumYrsSample,TotalDryWtSeds,TotalParrot,PropParrot,TotParrotTeethPerYr
Lagoon,A,2375,928.047311,20.38727592,242.2,5,0.172413793,0.24525101
Lagoon,A,2425,907.6600351,20.38727592,,,,
Lagoon,A,2475,887.2727592,20.38727592,,,,
Lagoon,A,2525,866.8854833,20.38727592,213.4,8,0.307692308,0.392401615
Lagoon,A,2575,846.4982073,20.38727592,,,,
Lagoon,A,2625,826.1109314,20.38727592,,,,
Lagoon,A,2675,805.7236555,20.38727592,219.7,8,0.285714286,0.392401615
Lagoon,A,2725,785.3363796,20.38727592,,,,
Lagoon,A,2775,764.9491037,20.38727592,,,,
Lagoon,A,2825,744.5618278,20.38727592,218.2,10,0.208333333,0.490502019
Lagoon,A,2875,724.1745518,20.38727592,,,,
Lagoon,A,2925,703.7872759,20.38727592,,,,
Lagoon,A,2975,683.4,20.38727592,189.1,3,0.15,0.147150606
Lagoon,A,3025,663.0127241,20.38727592,,,,
Lagoon,A,3075,642.6254482,20.38727592,,,,
